weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1993-10-06,Believe,Lenny Kravitz,75,70,60,15,https://charts-static.billboard.com/img/1993/06/lenny-kravitz-jjg-180x180.jpg,10,40,False
1993-10-13,Believe,Lenny Kravitz,90,75,60,16,https://charts-static.billboard.com/img/1993/06/lenny-kravitz-jjg-180x180.jpg,10,41,False
1993-10-20,Believe,Lenny Kravitz,98,90,60,17,https://charts-static.billboard.com/img/1993/06/lenny-kravitz-jjg-180x180.jpg,10,42,False
1993-12-08,Let It Snow,Boyz Ii Men,66,66,1,1,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,12,49,True
1993-12-15,Let It Snow,Boyz Ii Men,65,66,65,2,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,12,50,True
1993-12-22,Let It Snow,Boyz Ii Men,53,65,53,3,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,12,51,True
1993-12-29,Let It Snow,Boyz Ii Men,43,53,43,4,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,12,52,True
1994-01-05,Let It Snow,Boyz Ii Men,32,43,32,5,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,1,1,False
1994-01-12,Let It Snow,Boyz Ii Men,60,32,32,6,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,1,2,False
1994-01-19,Let It Snow,Boyz Ii Men,87,60,32,7,https://charts-static.billboard.com/img/1993/11/boyz-ii-men-jjo-letitsnow-c7s-180x180.jpg,1,3,False
1995-01-04,The Santa Claus Boogie,The Tractors,91,91,1,1,https://charts-static.billboard.com/img/1994/12/the-tractors-kgf-106x106.jpg,1,1,False
1995-03-08,Believe,Elton John,52,52,1,1,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,3,10,False
1995-03-15,Believe,Elton John,26,52,26,2,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,3,11,False
1995-03-22,Believe,Elton John,24,26,24,3,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,3,12,False
1995-03-29,Believe,Elton John,20,24,20,4,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,3,13,False
1995-04-05,Believe,Elton John,20,20,20,5,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,4,14,False
1995-04-12,Believe,Elton John,17,20,17,6,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,4,15,False
1995-04-19,Believe,Elton John,16,17,16,7,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,4,16,False
1995-04-26,Believe,Elton John,14,16,14,8,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,4,17,False
1995-05-03,Believe,Elton John,14,14,14,9,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,5,18,False
1995-05-10,Believe,Elton John,13,14,13,10,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,5,19,False
1995-05-17,Believe,Elton John,14,13,13,11,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,5,20,False
1995-05-24,Believe,Elton John,16,14,13,12,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,5,21,False
1995-05-31,Believe,Elton John,18,16,13,13,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,5,22,False
1995-06-07,Believe,Elton John,21,18,13,14,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,6,23,False
1995-06-14,Believe,Elton John,26,21,13,15,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,6,24,False
1995-06-21,Believe,Elton John,35,26,13,16,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,6,25,False
1995-06-28,Believe,Elton John,40,35,13,17,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,6,26,False
1995-07-05,Believe,Elton John,48,40,13,18,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,7,27,False
1995-07-12,Believe,Elton John,58,48,13,19,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,7,28,False
1995-07-19,Believe,Elton John,60,58,13,20,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,7,29,False
1996-12-18,Macarena Christmas,Los Del Rio,83,83,1,1,https://charts-static.billboard.com/img/1996/12/los-del-rio-90v-180x180.jpg,12,51,True
1996-12-25,Macarena Christmas,Los Del Rio,66,83,66,2,https://charts-static.billboard.com/img/1996/12/los-del-rio-90v-180x180.jpg,12,52,True
1997-01-01,Macarena Christmas,Los Del Rio,57,66,57,3,https://charts-static.billboard.com/img/1996/12/los-del-rio-90v-180x180.jpg,1,1,False
1997-01-08,Macarena Christmas,Los Del Rio,80,57,57,4,https://charts-static.billboard.com/img/1996/12/los-del-rio-90v-180x180.jpg,1,2,False
1997-12-24,Santa'S A Fat Bitch,Insane Clown Posse,67,67,1,1,https://charts-static.billboard.com/img/1994/02/insane-clown-posse-4dp-180x180.jpg,12,52,True
1997-12-31,Santa'S A Fat Bitch,Insane Clown Posse,67,67,67,2,https://charts-static.billboard.com/img/1994/02/insane-clown-posse-4dp-180x180.jpg,12,1,True
1998-01-07,Santa'S A Fat Bitch,Insane Clown Posse,74,67,67,3,https://charts-static.billboard.com/img/1994/02/insane-clown-posse-4dp-180x180.jpg,1,2,False
1998-01-07,Grandma Got Run Over By A Reindeer,Elmo & Patsy,87,87,1,1,https://charts-static.billboard.com/img/1984/01/elmo-patsy-zm3-180x180.jpg,1,2,False
1998-01-14,Santa'S A Fat Bitch,Insane Clown Posse,91,74,67,4,https://charts-static.billboard.com/img/1994/02/insane-clown-posse-4dp-180x180.jpg,1,3,False
1998-01-21,Santa'S A Fat Bitch,Insane Clown Posse,97,91,67,5,https://charts-static.billboard.com/img/1994/02/insane-clown-posse-4dp-180x180.jpg,1,4,False
1998-10-14,Better Days,Wc Featuring Jon B.,65,65,1,1,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,10,42,False
1998-10-21,Better Days,Wc Featuring Jon B.,65,65,65,2,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,10,43,False
1998-10-28,Better Days,Wc Featuring Jon B.,65,65,65,3,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,10,44,False
1998-11-04,Better Days,Wc Featuring Jon B.,65,65,65,4,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,11,45,False
1998-11-11,Better Days,Wc Featuring Jon B.,64,65,64,5,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,11,46,False
1998-11-18,Better Days,Wc Featuring Jon B.,73,64,64,6,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,11,47,False
1998-11-25,Better Days,Wc Featuring Jon B.,74,73,64,7,https://charts-static.billboard.com/img/1998/09/jon-b-c2u-180x180.jpg,11,48,False
1998-12-16,Believe,Cher,99,99,1,1,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,12,51,True
1998-12-23,Believe,Cher,77,99,77,2,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,12,52,True
1998-12-30,Believe,Cher,58,77,58,3,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,12,53,True
1999-01-06,Believe,Cher,47,58,47,4,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,1,1,False
1999-01-13,Believe,Cher,52,47,47,5,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,1,2,False
1999-01-20,Believe,Cher,35,52,35,6,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,1,3,False
1999-01-27,Believe,Cher,18,35,18,7,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,1,4,False
1999-02-03,Believe,Cher,13,18,13,8,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,2,5,False
1999-02-10,Believe,Cher,4,13,4,9,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,2,6,False
1999-02-17,Believe,Cher,3,4,3,10,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,2,7,False
1999-02-24,Believe,Cher,2,3,2,11,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,2,8,False
1999-03-03,Believe,Cher,2,2,2,12,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,3,9,False
1999-03-10,Believe,Cher,1,2,1,13,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,3,10,False
1999-03-17,Believe,Cher,1,1,1,14,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,3,11,False
1999-03-24,Believe,Cher,1,1,1,15,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,3,12,False
1999-03-31,Believe,Cher,1,1,1,16,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,3,13,False
1999-04-07,Believe,Cher,2,1,1,17,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,4,14,False
1999-04-14,Believe,Cher,2,2,1,18,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,4,15,False
1999-04-21,Believe,Cher,2,2,1,19,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,4,16,False
1999-04-28,Believe,Cher,3,2,1,20,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,4,17,False
1999-05-05,Believe,Cher,5,3,1,21,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,5,18,False
1999-05-12,Believe,Cher,5,5,1,22,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,5,19,False
1999-05-19,Believe,Cher,7,5,1,23,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,5,20,False
1999-05-26,Believe,Cher,9,7,1,24,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,5,21,False
1999-06-02,Believe,Cher,14,9,1,25,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,6,22,False
1999-06-09,Believe,Cher,15,14,1,26,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,6,23,False
1999-06-16,Believe,Cher,23,15,1,27,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,6,24,False
1999-06-23,Believe,Cher,26,23,1,28,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,6,25,False
1999-06-30,Believe,Cher,32,26,1,29,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,6,26,False
1999-07-07,Believe,Cher,38,32,1,30,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,7,27,False
1999-07-14,Believe,Cher,41,38,1,31,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,7,28,False
1999-12-22,Auld Lang Syne,Kenny G,89,89,1,1,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg,12,51,True
1999-12-22,Deck The Halls,Shedaisy,97,97,1,1,https://charts-static.billboard.com/img/1999/11/shedaisy-zwb-180x180.jpg,12,51,True
1999-12-29,This Gift,98 Degrees,53,53,1,1,#,12,52,True
1999-12-29,Auld Lang Syne,Kenny G,54,89,54,2,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg,12,52,True
1999-12-29,Deck The Halls,Shedaisy,69,97,69,2,https://charts-static.billboard.com/img/1999/11/shedaisy-zwb-180x180.jpg,12,52,True
2000-01-05,Auld Lang Syne,Kenny G,7,54,7,3,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg,1,1,False
2000-01-05,This Gift,98 Degrees,49,53,49,2,#,1,1,False
2000-01-05,Deck The Halls,Shedaisy,61,69,61,3,https://charts-static.billboard.com/img/1999/11/shedaisy-zwb-180x180.jpg,1,1,False
2000-01-05,All I Want For Christmas Is You,Mariah Carey,83,83,1,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,1,1,False
2000-01-12,Auld Lang Syne,Kenny G,8,7,7,4,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg,1,2,False
2000-01-12,This Gift,98 Degrees,79,49,49,3,#,1,2,False
2000-01-19,Auld Lang Syne,Kenny G,66,8,7,5,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg,1,3,False
2000-12-27,The Christmas Shoes,Newsong,68,68,1,1,https://charts-static.billboard.com/img/2000/12/newsong-tvl-106x106.jpg,12,52,True
2001-01-03,The Christmas Shoes,Newsong,42,68,42,2,https://charts-static.billboard.com/img/2000/12/newsong-tvl-106x106.jpg,1,1,False
2001-01-03,Where Are You Christmas?,Faith Hill,65,65,1,1,https://charts-static.billboard.com/img/2000/12/faith-hill-qku-whereareyouchristmasX-e4h-180x180.jpg,1,1,False
2005-10-05,Better Days,Goo Goo Dolls,57,57,1,1,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,10,40,False
2005-10-12,Better Days,Goo Goo Dolls,36,57,36,2,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,10,41,False
2005-10-19,Better Days,Goo Goo Dolls,63,36,36,3,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,10,42,False
2005-10-26,Better Days,Goo Goo Dolls,83,63,36,4,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,10,43,False
2005-11-02,Better Days,Goo Goo Dolls,92,83,36,5,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,11,44,False
2005-11-09,Better Days,Goo Goo Dolls,77,92,36,6,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,11,45,False
2005-11-16,Better Days,Goo Goo Dolls,71,77,36,7,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,11,46,False
2005-11-23,Better Days,Goo Goo Dolls,67,71,36,8,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,11,47,False
2005-11-30,Better Days,Goo Goo Dolls,68,67,36,9,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,11,48,False
2005-12-07,Better Days,Goo Goo Dolls,65,68,36,10,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,12,49,True
2005-12-14,Better Days,Goo Goo Dolls,57,65,36,11,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,12,50,True
2005-12-21,Better Days,Goo Goo Dolls,59,57,36,12,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,12,51,True
2005-12-21,Believe,Brooks & Dunn,97,97,1,1,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,12,51,True
2005-12-28,Better Days,Goo Goo Dolls,57,59,36,13,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,12,52,True
2005-12-28,Believe,Brooks & Dunn,95,97,95,2,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,12,52,True
2006-01-04,Better Days,Goo Goo Dolls,48,57,36,14,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,1,1,False
2006-01-04,Believe,Brooks & Dunn,91,95,91,3,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,1,1,False
2006-01-11,Better Days,Goo Goo Dolls,50,48,36,15,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,1,2,False
2006-01-18,Better Days,Goo Goo Dolls,53,50,36,16,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,1,3,False
2006-01-18,Believe,Brooks & Dunn,90,90,4,1,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,1,3,False
2006-01-25,Better Days,Goo Goo Dolls,59,53,36,17,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,1,4,False
2006-01-25,Believe,Brooks & Dunn,86,90,86,5,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,1,4,False
2006-02-01,Better Days,Goo Goo Dolls,61,59,36,18,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,2,5,False
2006-02-01,Believe,Brooks & Dunn,85,86,85,6,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,2,5,False
2006-02-08,Better Days,Goo Goo Dolls,63,61,36,19,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,2,6,False
2006-02-08,Believe,Brooks & Dunn,87,85,85,7,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,2,6,False
2006-02-15,Better Days,Goo Goo Dolls,54,63,36,20,https://charts-static.billboard.com/img/1991/01/goo-goo-dolls-f20-180x180.jpg,2,7,False
2006-02-15,Believe,Brooks & Dunn,78,87,78,8,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,2,7,False
2006-02-22,Believe,Brooks & Dunn,78,78,78,9,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,2,8,False
2006-03-01,Believe,Brooks & Dunn,76,78,76,10,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,3,9,False
2006-03-08,Believe,Brooks & Dunn,75,76,75,11,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,3,10,False
2006-03-15,Believe,Brooks & Dunn,69,75,69,12,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,3,11,False
2006-03-22,Believe,Brooks & Dunn,67,69,67,13,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,3,12,False
2006-03-29,Believe,Brooks & Dunn,65,67,65,14,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,3,13,False
2006-04-05,Believe,Brooks & Dunn,67,65,65,15,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,4,14,False
2006-04-12,Believe,Brooks & Dunn,62,67,62,16,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,4,15,False
2006-04-19,Believe,Brooks & Dunn,62,62,62,17,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,4,16,False
2006-04-26,Believe,Brooks & Dunn,60,62,60,18,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,4,17,False
2006-05-03,Believe,Brooks & Dunn,68,60,60,19,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,5,18,False
2006-05-10,Believe,Brooks & Dunn,80,68,60,20,https://charts-static.billboard.com/img/2005/10/brooks-dunn-b6k-180x180.jpg,5,19,False
2006-12-06,Greatest Time Of Year,Aly & Aj,96,96,1,1,https://charts-static.billboard.com/img/2006/12/aly-aj-mjk-155x155.jpg,12,49,True
2006-12-20,A Great Big Sled,The Killers Featuring Toni Halliday,54,54,1,1,https://charts-static.billboard.com/img/2004/05/the-killers-iq4-180x180.jpg,12,51,True
2006-12-20,River,Sarah Mclachlan,78,78,1,1,https://charts-static.billboard.com/img/2006/11/sarah-mclachlan-ol8-180x180.jpg,12,51,True
2006-12-27,Happy Xmas (War Is Over),The Fray,50,50,1,1,https://charts-static.billboard.com/img/2006/12/the-fray-2ey-106x106.jpg,12,52,True
2006-12-27,River,Sarah Mclachlan,71,78,71,2,https://charts-static.billboard.com/img/2006/11/sarah-mclachlan-ol8-180x180.jpg,12,52,True
2007-01-03,River,Sarah Mclachlan,85,71,71,3,https://charts-static.billboard.com/img/2006/11/sarah-mclachlan-ol8-180x180.jpg,1,1,False
2007-01-03,A Great Big Sled,The Killers Featuring Toni Halliday,88,54,2,1,https://charts-static.billboard.com/img/2004/05/the-killers-iq4-180x180.jpg,1,1,False
2007-01-03,Happy Xmas (War Is Over),The Fray,89,50,50,2,https://charts-static.billboard.com/img/2006/12/the-fray-2ey-106x106.jpg,1,1,False
2007-12-05,Mistletoe,Colbie Caillat,86,86,1,1,https://charts-static.billboard.com/img/2007/06/colbie-caillat-h40-180x180.jpg,12,49,True
2007-12-05,This Christmas,Chris Brown,89,89,1,1,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,12,49,True
2007-12-12,Mistletoe,Colbie Caillat,75,86,75,2,https://charts-static.billboard.com/img/2007/06/colbie-caillat-h40-180x180.jpg,12,50,True
2007-12-12,This Christmas,Chris Brown,80,89,80,2,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,12,50,True
2007-12-19,Mistletoe,Colbie Caillat,87,75,75,3,https://charts-static.billboard.com/img/2007/06/colbie-caillat-h40-180x180.jpg,12,51,True
2007-12-19,This Christmas,Chris Brown,96,80,80,3,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,12,51,True
2007-12-26,This Christmas,Chris Brown,74,96,74,4,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,12,52,True
2007-12-26,Mistletoe,Colbie Caillat,99,87,75,4,https://charts-static.billboard.com/img/2007/06/colbie-caillat-h40-180x180.jpg,12,52,True
2008-01-02,This Christmas,Chris Brown,62,74,62,5,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,1,1,False
2008-07-09,Believe,Staind,95,95,1,1,https://charts-static.billboard.com/img/1999/03/staind-htx-180x180.jpg,7,28,False
2008-09-03,Believe,Staind,83,83,2,1,https://charts-static.billboard.com/img/1999/03/staind-htx-180x180.jpg,9,36,False
2008-09-10,Believe,Staind,96,83,83,3,https://charts-static.billboard.com/img/1999/03/staind-htx-180x180.jpg,9,37,False
2009-12-16,Last Christmas,Glee Cast,63,63,1,1,https://charts-static.billboard.com/img/2009/06/glee-cast-asx.jpg,12,51,True
2009-12-23,Last Christmas,Glee Cast,89,63,63,2,https://charts-static.billboard.com/img/2009/06/glee-cast-asx.jpg,12,52,True
2010-12-15,Christmas Lights,Coldplay,25,25,1,1,https://charts-static.billboard.com/img/2010/12/coldplay-bm3-christmas-lights-2ci-180x180.jpg,12,50,True
2010-12-22,Christmas Lights,Coldplay,35,25,25,2,https://charts-static.billboard.com/img/2010/12/coldplay-bm3-christmas-lights-2ci-180x180.jpg,12,51,True
2010-12-22,Welcome Christmas,Glee Cast,59,59,1,1,https://charts-static.billboard.com/img/2009/06/glee-cast-asx.jpg,12,51,True
2010-12-29,Christmas Lights,Coldplay,83,35,25,3,https://charts-static.billboard.com/img/2010/12/coldplay-bm3-christmas-lights-2ci-180x180.jpg,12,52,True
2010-12-29,Oh Santa!,Mariah Carey,100,100,1,1,https://charts-static.billboard.com/img/2010/12/mariah-carey-tgq-180x180.jpg,12,52,True
2011-01-05,Shake Up Christmas,Train,99,99,1,1,https://charts-static.billboard.com/img/2010/12/train-z35-106x106.jpg,1,1,False
2011-11-02,Mistletoe,Justin Bieber,11,11,1,1,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,11,44,False
2011-11-09,Mistletoe,Justin Bieber,75,11,11,2,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,11,45,False
2011-11-23,Mistletoe,Justin Bieber,85,11,3,1,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,11,47,False
2011-11-30,Mistletoe,Justin Bieber,96,85,11,4,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,11,48,False
2011-12-07,Mistletoe,Justin Bieber,60,96,11,5,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,12,49,True
2011-12-14,Mistletoe,Justin Bieber,44,60,11,6,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,12,50,True
2011-12-14,It'S Beginning To Look A Lot Like Christmas,Michael Buble,96,96,1,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,50,True
2011-12-21,Mistletoe,Justin Bieber,34,44,11,7,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,12,51,True
2011-12-21,I'Ll Be Home For Christmas,Kelly Clarkson,93,93,1,1,https://charts-static.billboard.com/img/2002/09/kelly-clarkson-w89-180x180.jpg,12,51,True
2011-12-21,Amen,Edens Edge,99,99,1,1,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,12,51,True
2011-12-28,Mistletoe,Justin Bieber,32,34,11,8,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,12,52,True
2011-12-28,Amen,Edens Edge,90,99,90,2,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,12,52,True
2011-12-28,Do They Know It'S Christmas?,Glee Cast,92,92,1,1,https://charts-static.billboard.com/img/2009/06/glee-cast-asx.jpg,12,52,True
2011-12-28,All I Want For Christmas Is You,Michael Buble,99,99,1,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,52,True
2012-01-04,Mistletoe,Justin Bieber,19,32,11,9,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,1,1,False
2012-01-11,Mistletoe,Justin Bieber,53,19,11,10,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,1,2,False
2012-01-11,Amen,Edens Edge,93,90,3,1,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,1,2,False
2012-01-18,Amen,Edens Edge,86,93,86,4,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,1,3,False
2012-01-25,Amen,Edens Edge,83,86,83,5,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,1,4,False
2012-02-01,Amen,Edens Edge,86,83,83,6,https://charts-static.billboard.com/img/2011/04/edens-edge-9z1-106x106.jpg,2,5,False
2012-07-04,Amen,Meek Mill Featuring Drake,86,86,1,1,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,7,27,False
2012-07-11,Amen,Meek Mill Featuring Drake,92,86,86,2,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,7,28,False
2012-07-18,Amen,Meek Mill Featuring Drake,94,92,86,3,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,7,29,False
2012-07-25,Amen,Meek Mill Featuring Drake,77,94,77,4,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,7,30,False
2012-08-01,Amen,Meek Mill Featuring Drake,64,77,64,5,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,8,31,False
2012-08-08,Amen,Meek Mill Featuring Drake,65,64,64,6,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,8,32,False
2012-08-15,Amen,Meek Mill Featuring Drake,62,65,62,7,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,8,33,False
2012-08-22,Amen,Meek Mill Featuring Drake,57,62,57,8,https://charts-static.billboard.com/img/2009/12/meek-mill-d0g-180x180.jpg,8,34,False
